Series_reference,Period,Data_value,STATUS,UNITS,MAGNTUDE,Subject,Group,Series_title_1,Series_title_2,Series_title_3,Series_title_4,Series_title_5
GFSA.SCS01G02140,2023.06,226,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Operating Income",Other income,,,,
GFSA.SCS01G02142,2009.06,3834,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Operating Income",Sales of goods and services,,,,
GFSA.SCS01G02142,2010.06,4109,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Operating Income",Sales of goods and services,,,,
GFSA.SCS01G02142,2011.06,4416,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Operating Income",Sales of goods and services,,,,
GFSA.SCS01G02142,2012.06,4768,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Operating Income",Sales of goods and services,,,,
GFSA.SCS01G02142,2013.06,4804,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Operating Income",Sales of goods and services,,,,
GFSA.SCS01G02142,2014.06,4911,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Operating Income",Sales of goods and services,,,,
GFSA.SCS01G02142,2015.06,4852,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Operating Income",Sales of goods and services,,,,
GFSA.SCS01G02142,2016.06,5282,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Operating Income",Sales of goods and services,,,,
GFSA.SCS01G02142,2017.06,5564,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Operating Income",Sales of goods and services,,,,
GFSA.SCS01G02142,2018.06,5557,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Operating Income",Sales of goods and services,,,,
GFSA.SCS01G02142,2019.06,6014,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Operating Income",Sales of goods and services,,,,
GFSA.SCS01G02142,2020.06,5964,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Operating Income",Sales of goods and services,,,,
GFSA.SCS01G02142,2021.06,5665,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Operating Income",Sales of goods and services,,,,
GFSA.SCS01G02142,2022.06,5875,REVISED,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Operating Income",Sales of goods and services,,,,
GFSA.SCS01G02142,2023.06,6345,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Operating Income",Sales of goods and services,,,,
GFSA.SCS01G02143,2009.06,1360,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Operating Income",Dividend income,,,,
GFSA.SCS01G02143,2010.06,1649,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Operating Income",Dividend income,,,,
GFSA.SCS01G02143,2011.06,1622,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Operating Income",Dividend income,,,,
GFSA.SCS01G02143,2012.06,1209,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Operating Income",Dividend income,,,,
GFSA.SCS01G02143,2013.06,1561,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Operating Income",Dividend income,,,,
GFSA.SCS01G02143,2014.06,1579,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Operating Income",Dividend income,,,,
GFSA.SCS01G02143,2015.06,2151,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Operating Income",Dividend income,,,,
GFSA.SCS01G02143,2016.06,1809,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Operating Income",Dividend income,,,,
GFSA.SCS01G02143,2017.06,2081,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Operating Income",Dividend income,,,,
GFSA.SCS01G02143,2018.06,2151,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Operating Income",Dividend income,,,,
GFSA.SCS01G02143,2019.06,2108,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Operating Income",Dividend income,,,,
GFSA.SCS01G02143,2020.06,1686,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Operating Income",Dividend income,,,,
GFSA.SCS01G02143,2021.06,1672,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Operating Income",Dividend income,,,,
GFSA.SCS01G02143,2022.06,1890,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Operating Income",Dividend income,,,,
GFSA.SCS01G02143,2023.06,2007,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Operating Income",Dividend income,,,,
GFSA.SCS01G02144,2009.06,2085,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Operating Income",Interest income,,,,
GFSA.SCS01G02144,2010.06,1716,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Operating Income",Interest income,,,,
GFSA.SCS01G02144,2011.06,2032,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Operating Income",Interest income,,,,
GFSA.SCS01G02144,2012.06,2103,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Operating Income",Interest income,,,,
